timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902197854,2102,HTTP Request-1,200,OK,CollegeStudents 1-8,text,true,,104571,149,5,5,https://www.shivajicollege.ac.in/aboutus/the_college.php,2084,0,0
1719902197887,2605,HTTP Request,200,OK,CollegeStudents 1-10,text,true,,105309,298,5,5,https://www.shivajicollege.ac.in/aboutus/the_college.php,1169,0,0
1719902197887,1169,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-10,text,true,,738,149,5,5,http://www.shivajicollege.ac.in/aboutus/the_college.php,1169,0,0
1719902199057,1435,HTTP Request-1,200,OK,CollegeStudents 1-10,text,true,,104571,149,5,5,https://www.shivajicollege.ac.in/aboutus/the_college.php,1412,0,0
1719902196996,3501,HTTP Request,200,OK,CollegeStudents 1-5,text,true,,105309,298,4,4,https://www.shivajicollege.ac.in/aboutus/the_college.php,857,0,0
1719902196996,857,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-5,text,true,,738,149,4,4,http://www.shivajicollege.ac.in/aboutus/the_college.php,857,0,0
1719902197853,2644,HTTP Request-1,200,OK,CollegeStudents 1-5,text,true,,104571,149,4,4,https://www.shivajicollege.ac.in/aboutus/the_college.php,2624,0,0
1719902198242,2488,HTTP Request,200,OK,CollegeStudents 1-9,text,true,,105309,298,3,3,https://www.shivajicollege.ac.in/aboutus/the_college.php,815,0,0
1719902198242,816,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-9,text,true,,738,149,3,3,http://www.shivajicollege.ac.in/aboutus/the_college.php,815,0,0
1719902199058,1672,HTTP Request-1,200,OK,CollegeStudents 1-9,text,true,,104571,149,3,3,https://www.shivajicollege.ac.in/aboutus/the_college.php,1643,0,0
1719902198353,2460,HTTP Request,200,OK,CollegeStudents 1-7,text,true,,105309,298,3,3,https://www.shivajicollege.ac.in/aboutus/the_college.php,705,0,0
1719902198353,705,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-7,text,true,,738,149,3,3,http://www.shivajicollege.ac.in/aboutus/the_college.php,705,0,0
1719902199058,1755,HTTP Request-1,200,OK,CollegeStudents 1-7,text,true,,104571,149,3,3,https://www.shivajicollege.ac.in/aboutus/the_college.php,1727,0,0
1719902199956,863,HTTP Request,200,OK,CollegeStudents 1-8,text,true,,105309,298,2,2,https://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,0
1719902199956,47,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-8,text,true,,738,149,2,2,http://www.shivajicollege.ac.in/aboutus/the_college.php,47,0,0
1719902200004,815,HTTP Request-1,200,OK,CollegeStudents 1-8,text,true,,104571,149,2,2,https://www.shivajicollege.ac.in/aboutus/the_college.php,796,0,0
1719902200730,520,HTTP Request,200,OK,CollegeStudents 1-9,text,true,,105309,298,1,1,https://www.shivajicollege.ac.in/aboutus/the_college.php,41,0,0
1719902200730,41,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-9,text,true,,738,149,1,1,http://www.shivajicollege.ac.in/aboutus/the_college.php,41,0,0
1719902200771,479,HTTP Request-1,200,OK,CollegeStudents 1-9,text,true,,104571,149,1,1,https://www.shivajicollege.ac.in/aboutus/the_college.php,456,0,0
